x	y
5.8624396	9.862987
8.739185	6.243243
8.764523	11.474192
4.0663667	6.9629855
5.934779	4.355697
5.346699	8.37882
5.261603	6.939248
5.621938	9.272148
6.85054	8.826653
6.4692883	10.130708
8.265762	9.664279
8.460409	8.069534
6.0950656	4.8687043
7.244717	9.379761
4.564709	5.832006
4.980367	8.985371
8.745825	12.076863
7.362748	10.456658
7.79232	8.246335
2.3185778	5.329592
9.072015	6.9659805
5.884893	5.1483684
3.3757966	7.9765544
5.1616964	8.246283
6.8009853	6.5527625
8.876006	6.3881726
6.777747	10.313069
3.3589065	7.527537
8.668553	12.894596
5.141153	8.990318
9.388905	11.702679
7.490144	9.317924
8.217843	6.517389
4.0100784	5.405555
8.749945	5.2862344
5.20406	6.8115983
6.816739	10.08907
7.6967225	7.2426143
5.4622273	9.648316
8.926497	11.946469
5.0937066	6.924678
5.3115754	10.108751
8.439479	6.065143
6.003857	5.856353
6.296704	8.605115
3.605877	6.175904
9.231267	12.824801
5.5740776	8.689651
1.9886663	6.148124
3.6730783	5.0625224
8.278721	9.392545
7.7907977	4.5516357
6.5304694	4.3334165
5.669801	4.9607215
5.6732464	8.2909
2.3221314	5.671656
9.089787	12.980433
8.31372	9.554045
6.889861	7.779665
3.5131402	5.960432
8.837729	6.1791906
5.9992356	6.243651
8.292118	11.974792
5.525869	7.016159
8.856064	8.463691
6.1426654	5.74967
6.4382033	4.9534135
8.4293375	8.704838
5.712415	8.833215
9.866578	11.476626
7.622467	7.121411
6.5171523	9.801631
3.4769082	7.9747443
8.011504	4.550809
5.344605	7.323015
7.6089926	5.527675
4.141823	6.042942
9.204259	11.4773445
5.665737	10.199114
8.252775	5.6398444
8.721854	8.918679
2.4241688	6.686603
3.9940002	6.0514336
5.519067	10.322427
7.514139	9.405456
7.8279886	4.7467875
8.333677	12.722368
4.8213983	5.582271
7.0782027	6.701376
6.7116446	6.285205
8.9263935	10.496288
9.706895	11.402625
7.8191667	12.532403
-4.1879377	10.24528
5.30674	8.483254
2.780917	5.707092
4.31387	4.9130635
6.490731	10.275779
9.805604	11.110659
8.965928	7.7559304
8.474414	13.085569
7.794511	8.747657
8.058976	6.3806534
8.277606	12.842512
7.414924	9.74362
7.518932	8.772369
5.84237	7.267148
8.755037	8.269253
8.632812	6.8879843
4.092858	6.8150783
3.2684069	5.1593323
5.611238	7.9638314
2.3573148	6.8135614
8.999411	10.771937
2.1741512	5.5608077
9.02065	10.379455
4.64445	5.465404
8.074879	9.40701
6.503798	10.728457
3.664382	8.232844
6.5772514	4.672716
-3.6803486	10.598594
-4.0939913	10.37334
3.4288626	5.1812863
9.192831	11.965397
5.4278965	5.7424664
3.028092	5.6672306
7.6936665	9.041135
7.5310946	4.5635185
4.856359	8.633589
4.1813335	7.0548706
3.5541897	7.4486747
2.5880833	5.7722926
3.958126	7.639171
1.9653918	6.176184
2.3573477	6.0727477
8.110594	12.859631
9.515568	11.210855
6.4388027	9.319404
8.9775715	13.122669
5.4293356	4.7833476
6.524092	8.070836
8.45156	12.010248
7.546123	4.955701
5.8884745	4.340914
4.865831	7.2391233
5.0940104	7.996276
8.596204	6.1143885
-3.9011478	10.506368
6.035726	5.3539433
4.777093	6.943765
3.4230444	7.6116266
6.629228	5.103959
7.7273154	4.476776
8.149096	12.684433
2.0398562	6.341
5.2791185	7.8297157
7.3836217	7.7684264
6.7689714	7.8682265
5.232488	7.7418857
8.936804	12.666187
8.483324	12.206964
7.739815	10.10594
8.855599	7.9685636
8.110433	7.26505
8.568146	11.489162
2.2677166	5.76374
5.492452	5.2160726
-3.5184238	10.787357
5.271923	9.71393
4.880057	4.951825
5.5745273	7.3440857
4.959597	8.518666
8.698658	12.959679
7.412339	9.083421
5.1948037	8.093165
8.904335	6.2487674
8.63442	8.333867
5.5085363	5.0080943
5.880172	10.572415
3.0070884	6.3446965
7.957135	10.138655
4.947424	7.534614
